2021-12-15 13:12:36,862 DEBUG     client Application Started
2021-12-15 13:12:36,872 DEBUG     messenger Connected to server localhost:7777
2021-12-15 13:12:36,873 DEBUG     decorators Function <send_presence> called from function <main> (line 62) with arguments ('user-1', 'Online')
2021-12-15 13:12:36,873 DEBUG     decorators Function <send> called from function <send_presence> (line 133) with arguments (<socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53548), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639563156.8735452, 'type': 'status', 'user': {'account_name': 'user-1', 'status': 'Online'}})
2021-12-15 13:12:36,874 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53548), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:12:36,874 DEBUG     client Application Started
2021-12-15 13:12:36,875 DEBUG     client Application Started
2021-12-15 13:12:36,876 DEBUG     client Application Started
2021-12-15 13:12:36,882 DEBUG     messenger Connected to server localhost:7777
2021-12-15 13:12:36,882 DEBUG     messenger Connected to server localhost:7777
2021-12-15 13:12:36,883 DEBUG     decorators Function <send_presence> called from function <main> (line 62) with arguments ('user-3', 'Online')
2021-12-15 13:12:36,883 DEBUG     decorators Function <send> called from function <send_presence> (line 133) with arguments (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53549), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639563156.8835182, 'type': 'status', 'user': {'account_name': 'user-4', 'status': 'Online'}})
2021-12-15 13:12:36,883 DEBUG     decorators Function <send> called from function <send_presence> (line 133) with arguments (<socket.socket fd=108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53550), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639563156.8835182, 'type': 'status', 'user': {'account_name': 'user-3', 'status': 'Online'}})
2021-12-15 13:12:36,884 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53549), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:12:36,884 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53550), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:12:36,884 DEBUG     messenger Connected to server localhost:7777
2021-12-15 13:12:36,885 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'code': 200, 'time': 1639563156.8845153, 'alert': ''},)
2021-12-15 13:12:36,885 DEBUG     decorators Function <ok_handler> called from function <process_response> (line 167) with arguments ({'code': 200, 'time': 1639563156.8845153, 'alert': ''},)
2021-12-15 13:12:36,885 INFO      messenger Ok (200): no additional message provided
2021-12-15 13:12:36,885 DEBUG     decorators Function <send_presence> called from function <main> (line 62) with arguments ('user-2', 'Online')
2021-12-15 13:12:36,885 DEBUG     decorators Function <send> called from function <send_presence> (line 133) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639563156.8855133, 'type': 'status', 'user': {'account_name': 'user-2', 'status': 'Online'}})
2021-12-15 13:12:36,885 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:12:36,885 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53548), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:12:36,887 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'code': 200, 'time': 1639563156.886511, 'alert': ''},)
2021-12-15 13:12:36,887 DEBUG     decorators Function <ok_handler> called from function <process_response> (line 167) with arguments ({'code': 200, 'time': 1639563156.886511, 'alert': ''},)
2021-12-15 13:12:36,887 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'code': 200, 'time': 1639563156.886511, 'alert': ''},)
2021-12-15 13:12:36,887 INFO      messenger Ok (200): no additional message provided
2021-12-15 13:12:36,887 DEBUG     decorators Function <ok_handler> called from function <process_response> (line 167) with arguments ({'code': 200, 'time': 1639563156.886511, 'alert': ''},)
2021-12-15 13:12:36,887 INFO      messenger Ok (200): no additional message provided
2021-12-15 13:12:36,887 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53549), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:12:36,888 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53550), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:12:36,888 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'code': 200, 'time': 1639563156.888506, 'alert': ''},)
2021-12-15 13:12:36,888 DEBUG     decorators Function <ok_handler> called from function <process_response> (line 167) with arguments ({'code': 200, 'time': 1639563156.888506, 'alert': ''},)
2021-12-15 13:12:36,888 INFO      messenger Ok (200): no additional message provided
2021-12-15 13:12:36,889 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:13:11,456 DEBUG     decorators Function <send> called from function <send_to_all> (line 154) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>, {'action': 'to_all', 'time': 1639563191.4564126, 'account_name': 'user-2', 'message_text': "Hello all! Let's meet at Friday!"})
2021-12-15 13:13:12,046 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'to_all', 'time': 1639563191.4564126, 'account_name': 'user-2', 'message_text': "Hello all! Let's meet at Friday!"},)
2021-12-15 13:13:12,046 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'to_all', 'time': 1639563191.4564126, 'account_name': 'user-2', 'message_text': "Hello all! Let's meet at Friday!"},)
2021-12-15 13:13:12,046 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'to_all', 'time': 1639563191.4564126, 'account_name': 'user-2', 'message_text': "Hello all! Let's meet at Friday!"},)
2021-12-15 13:13:12,046 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'to_all', 'time': 1639563191.4564126, 'account_name': 'user-2', 'message_text': "Hello all! Let's meet at Friday!"},)
2021-12-15 13:13:12,046 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'to_all', 'time': 1639563191.4564126, 'account_name': 'user-2', 'message_text': "Hello all! Let's meet at Friday!"},)
2021-12-15 13:13:12,047 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53548), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:13:12,047 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53549), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:13:12,047 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'to_all', 'time': 1639563191.4564126, 'account_name': 'user-2', 'message_text': "Hello all! Let's meet at Friday!"},)
2021-12-15 13:13:12,047 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53550), raddr=('127.0.0.1', 7777)>,)
