2022-01-19 15:04:40,276 DEBUG     server Application is started
2022-01-19 15:04:40,309 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:05:03,443 DEBUG     decorators Function <process_request> called from function <process_requests> (line 334) with arguments (<socket.socket fd=1372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>, {'action': 'presence', 'time': 1642593903.4423401, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>])
2022-01-19 15:05:03,443 DEBUG     decorators Function <presence> called from function <process_request> (line 352) with arguments (<socket.socket fd=1372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>, {'action': 'presence', 'time': 1642593903.4423401, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:05:03,453 INFO      messenger User John logged in
2022-01-19 15:05:03,453 DEBUG     decorators Function <response> called from function <presence> (line 369) with arguments (<socket.socket fd=1372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>, 200)
2022-01-19 15:05:03,453 INFO      decorators 200: 
2022-01-19 15:05:04,461 DEBUG     decorators Function <process_request> called from function <process_requests> (line 334) with arguments (<socket.socket fd=1372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>, {'action': 'get_users', 'time': 1642593903.4533103, 'account_name': 'John'}, [<socket.socket fd=1372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>])
2022-01-19 15:05:04,461 DEBUG     decorators Function <response_and_close> called from function <process_request> (line 354) with arguments (<socket.socket fd=1372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>, 400, 'Invalid action')
2022-01-19 15:05:04,472 ERROR     decorators 400: Invalid action
2022-01-19 15:11:11,750 DEBUG     decorators Function <process_request> called from function <process_requests> (line 334) with arguments (<socket.socket fd=920, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56218)>, {'action': 'presence', 'time': 1642594270.739458, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=920, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56218)>])
2022-01-19 15:11:11,750 DEBUG     decorators Function <presence> called from function <process_request> (line 352) with arguments (<socket.socket fd=920, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56218)>, {'action': 'presence', 'time': 1642594270.739458, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:11:11,762 INFO      messenger User John logged in
2022-01-19 15:11:11,762 DEBUG     decorators Function <response> called from function <presence> (line 369) with arguments (<socket.socket fd=920, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56218)>, 200)
2022-01-19 15:11:11,762 INFO      decorators 200: 
